5/1 ARM,,,,7/1 ARM,,,,30 Year Fixed,,,
Rate,15 DAYS,30 DAYS,45 DAYS,Rate,15 DAYS,30 DAYS,45 DAYS,Rate,15 DAYS,30 DAYS,45 DAYS
0.0669,-1.7500,-1.6000,-1.4500,0.0681,-1.7500,-1.6000,-1.4500,0.0719,-1.7500,-1.6000,-1.4500
0.0656,-1.6250,-1.4750,-1.3250,0.0669,-1.6250,-1.4750,-1.3250,0.0706,-1.6250,-1.4750,-1.3250
0.0644,-1.5000,-1.3500,-1.2000,0.0656,-1.5000,-1.3500,-1.2000,0.0694,-1.5000,-1.3500,-1.2000
0.0631,-1.3750,-1.2250,-1.0750,0.0644,-1.3750,-1.2250,-1.0750,0.0681,-1.3750,-1.2250,-1.0750
0.0619,-1.2500,-1.1000,-0.9500,0.0631,-1.2500,-1.1000,-0.9500,0.0669,-1.2500,-1.1000,-0.9500
0.0606,-1.1250,-0.9750,-0.8250,0.0619,-1.1250,-0.9750,-0.8250,0.0656,-1.1250,-0.9750,-0.8250
0.0594,-0.8750,-0.7250,-0.5750,0.0606,-0.8750,-0.7250,-0.5750,0.0644,-0.8750,-0.7250,-0.5750
0.0581,-0.7500,-0.6000,-0.4500,0.0594,-0.7500,-0.6000,-0.4500,0.0631,-0.7500,-0.6000,-0.4500
0.0569,-0.5000,-0.3500,-0.2000,0.0581,-0.5000,-0.3500,-0.2000,0.0619,-0.5000,-0.3500,-0.2000
0.0556,-0.2500,-0.1000,0.0500,0.0569,-0.2500,-0.1000,0.0500,0.0606,-0.2500,-0.1000,0.0500
0.0544,0.1250,0.2750,0.4250,0.0556,0.1250,0.2750,0.4250,0.0594,0.1250,0.2750,0.4250
0.0531,0.6250,0.7750,0.9250,0.0544,0.6250,0.7750,0.9250,0.0581,0.6250,0.7750,0.9250
0.0519,1.1250,1.2750,1.4250,0.0531,1.1250,1.2750,1.4250,0.0569,1.1250,1.2750,1.4250
0.0506,1.6250,1.7750,1.9250,0.0519,1.6250,1.7750,1.9250,0.0556,1.6250,1.7750,1.9250
0.0494,2.2500,2.4000,2.5500,0.0506,2.2500,2.4000,2.5500,0.0544,2.2500,2.4000,2.5500
0.0481,2.8750,3.0250,3.1750,0.0494,2.8750,3.0250,3.1750,0.0531,2.8750,3.0250,3.1750
