LTV - Credit Score Adjustment Table,,,,,,,,,
,LTV Range,,,,,,,,
,,,,,,,,,
,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,80.01-85,85.01-90
>=760,-0.25,-0.25,-0.25,-0.125,0,0,0.125,0.25,0.625
740-759,-0.125,-0.125,-0.125,0,0.125,0.25,0.25,0.375,0.75
720-739,0,0.05,0.05,0.175,0.3,0.3,0.425,0.5,0.875
700-719,0.125,0.175,0.175,0.3,0.3,0.425,0.55,0.75,1.25
680-699,0.25,0.3,0.3,0.425,0.55,0.675,0.8,1.25,2
660-679,0.375,0.425,0.425,0.55,0.675,0.925,1.175,1.625,NA
640-659,0.5,0.55,0.55,0.675,0.925,1.3,1.8,2.125,NA
620-639,0.625,0.675,0.675,0.8,NA,NA,NA,NA,NA
,,,,,,,,,
